id,source,type,state,priority,gravity,class,object,latitude,longitude,location,broker_id,implicated,address,zone_id,orient,incident_time,incident_day,incident_weekday,incident_hour,implicated_type,injured_count,dead_count
57518,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.705278873443604,-74.127685546875,Engativa,,2.0,Carrera 110 Calle 69 B,Zona 1,Sur - Norte,2022-04-30 23:59:00,30,5,23,Automóvil,0.0,0.0
57518,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.705278873443604,-74.127685546875,Engativa,,2.0,Carrera 110 Calle 69 B,Zona 1,Sur - Norte,2022-04-30 23:59:00,30,5,23,Automóvil,0.0,0.0
57519,NUSE,Choque,Cerrado,1,Simple,Siniestro,,4.6005706787109375,-74.14337921142578,Kennedy,Av Boyacá SN,3.0,Carrera 68I Calle 43 B SUR,Zona 2,Norte - sur,2022-04-30 23:54:00,30,5,23,Automóvil,0.0,0.0
57519,NUSE,Choque,Cerrado,1,Simple,Siniestro,,4.6005706787109375,-74.14337921142578,Kennedy,Av Boyacá SN,3.0,Carrera 68I Calle 43 B SUR,Zona 2,Norte - sur,2022-04-30 23:54:00,30,5,23,Automóvil,0.0,0.0
57519,NUSE,Choque,Cerrado,1,Simple,Siniestro,,4.6005706787109375,-74.14337921142578,Kennedy,Av Boyacá SN,3.0,Carrera 68I Calle 43 B SUR,Zona 2,Norte - sur,2022-04-30 23:54:00,30,5,23,Automóvil,0.0,0.0
57520,NUSE,Choque contra objeto fijo,Cerrado,1,Simple,Siniestro,Pared,4.6477766036987305,-74.13712310791016,Kennedy,,1.0,Calle 11 Carrera 79 a,Zona 2,Oriente - Occidente,2022-05-01 00:08:00,01,6,0,Automóvil,0.0,0.0
57521,NUSE,Choque,Cerrado,1,Simple,Siniestro,,4.720405101776123,-74.07530212402344,Suba,Av Boyacá NS,2.0,Av. Boyacá  Calle 129,Zona 1,Sur - Norte,2022-05-01 00:10:00,01,6,0,Automóvil,0.0,0.0
57521,NUSE,Choque,Cerrado,1,Simple,Siniestro,,4.720405101776123,-74.07530212402344,Suba,Av Boyacá NS,2.0,Av. Boyacá  Calle 129,Zona 1,Sur - Norte,2022-05-01 00:10:00,01,6,0,Motocicleta,0.0,0.0
57522,NUSE,Choque,Cerrado,1,Simple,Siniestro,,4.614258289337158,-74.16725158691406,Kennedy,Av 1ra de Mayo EW,2.0,Transversal 78 J Calle 49 SUR,Zona 2,Sur - Norte,2022-05-01 00:11:00,01,6,0,Bus,0.0,0.0
57522,NUSE,Choque,Cerrado,1,Simple,Siniestro,,4.614258289337158,-74.16725158691406,Kennedy,Av 1ra de Mayo EW,2.0,Transversal 78 J Calle 49 SUR,Zona 2,Sur - Norte,2022-05-01 00:11:00,01,6,0,Bicicleta,0.0,0.0
57523,NUSE,Choque,Cerrado,1,Con lesionado,Siniestro,,4.595174789428711,-74.13790130615234,Kennedy,Autopista sur NS,2.0,Cra 68 #44 Sur-64,Zona 2,Occidente - Oriente,2022-05-01 00:11:00,01,6,0,Motocicleta,0.0,0.0
57523,NUSE,Choque,Cerrado,1,Con lesionado,Siniestro,,4.595174789428711,-74.13790130615234,Kennedy,Autopista sur NS,2.0,Cra 68 #44 Sur-64,Zona 2,Occidente - Oriente,2022-05-01 00:11:00,01,6,0,Bicicleta,0.0,0.0
57524,Semaforización,Mantenimiento correctivo,Cerrado,1,,Semaforización,,4.581571102142334,-74.10247039794922,Antonio Nariño,Av 1ra de Mayo EW,,KR 8 X AC 22 S,Zona 2,Sin orientación,2022-05-01 00:57:00,01,6,0,,,
57525,NUSE,Choque,Cerrado,1,Simple,Siniestro,,4.596457004547119,-74.17460632324219,Ciudad Bolivar,Autopista sur SN,2.0,Autosur  Carrera 70 C,Zona 2,Oriente - Occidente,2022-05-01 00:58:00,01,6,0,Automóvil,0.0,0.0
57525,NUSE,Choque,Cerrado,1,Simple,Siniestro,,4.596457004547119,-74.17460632324219,Ciudad Bolivar,Autopista sur SN,2.0,Autosur  Carrera 70 C,Zona 2,Oriente - Occidente,2022-05-01 00:58:00,01,6,0,Automóvil,0.0,0.0
57526,NUSE,Choque,Cerrado,1,Simple,Siniestro,,4.695898532867432,-74.1058349609375,Engativa,Av Ciudad de Cali NS,2.0,Av. Cali  Calle 72,Zona 1,Sur - Norte,2022-05-01 01:01:00,01,6,1,Automóvil,0.0,0.0
57526,NUSE,Choque,Cerrado,1,Simple,Siniestro,,4.695898532867432,-74.1058349609375,Engativa,Av Ciudad de Cali NS,2.0,Av. Cali  Calle 72,Zona 1,Sur - Norte,2022-05-01 01:01:00,01,6,1,Automóvil,0.0,0.0
57527,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.681146621704102,-74.11123657226562,Engativa,,2.0,Carrera 80 a Calle 63 h,Zona 1,Sur - Norte,2022-05-01 01:02:00,01,6,1,Automóvil,0.0,0.0
57527,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.681146621704102,-74.11123657226562,Engativa,,2.0,Carrera 80 a Calle 63 h,Zona 1,Sur - Norte,2022-05-01 01:02:00,01,6,1,Bicicleta,0.0,0.0
57528,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.668676376342773,-74.11922454833984,Fontibon,,2.0,Carrera 80 c Calle 24 d,Zona 2,Norte - sur,2022-05-01 01:03:00,01,6,1,Automóvil,0.0,0.0
57528,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.668676376342773,-74.11922454833984,Fontibon,,2.0,Carrera 80 c Calle 24 d,Zona 2,Norte - sur,2022-05-01 01:03:00,01,6,1,Automóvil,0.0,0.0
57529,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.621780872344971,-74.18736267089844,Bosa,,2.0,Calle 59 sur Carrera 87 d,Zona 2,Oriente - Occidente,2022-05-01 01:04:00,01,6,1,Automóvil,0.0,0.0
57529,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.621780872344971,-74.18736267089844,Bosa,,2.0,Calle 59 sur Carrera 87 d,Zona 2,Oriente - Occidente,2022-05-01 01:04:00,01,6,1,Motocicleta,0.0,0.0
57530,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.597104549407959,-74.17829132080078,Bosa,,2.0,Autosur  Calle 60 sur,Zona 2,Oriente - Occidente,2022-05-01 01:06:00,01,6,1,Automóvil,0.0,0.0
57530,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.597104549407959,-74.17829132080078,Bosa,,2.0,Autosur  Calle 60 sur,Zona 2,Oriente - Occidente,2022-05-01 01:06:00,01,6,1,Motocicleta,0.0,0.0
57531,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.604316234588623,-74.07024383544922,Santa Fe,,3.0,Carrera 5 Calle 19,Zona 2,Sur - Norte,2022-05-01 01:08:00,01,6,1,Automóvil,0.0,0.0
57531,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.604316234588623,-74.07024383544922,Santa Fe,,3.0,Carrera 5 Calle 19,Zona 2,Sur - Norte,2022-05-01 01:08:00,01,6,1,Automóvil,0.0,0.0
57531,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.604316234588623,-74.07024383544922,Santa Fe,,3.0,Carrera 5 Calle 19,Zona 2,Sur - Norte,2022-05-01 01:08:00,01,6,1,Automóvil,0.0,0.0
57532,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.550992965698242,-74.1416015625,Ciudad Bolivar,,2.0,Calle 67 A BIS SUR Carrera 17 K,Zona 2,Oriente - Occidente,2022-05-01 00:26:00,01,6,0,Automóvil,0.0,0.0
57532,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.550992965698242,-74.1416015625,Ciudad Bolivar,,2.0,Calle 67 A BIS SUR Carrera 17 K,Zona 2,Oriente - Occidente,2022-05-01 00:26:00,01,6,0,Motocicleta,0.0,0.0
57533,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.56264591217041,-74.14993286132812,Ciudad Bolivar,,2.0,Carrera 20 C Calle 67 SUR,Zona 2,Norte - sur,2022-05-01 01:34:00,01,6,1,Automóvil,0.0,0.0
57533,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.56264591217041,-74.14993286132812,Ciudad Bolivar,,2.0,Carrera 20 C Calle 67 SUR,Zona 2,Norte - sur,2022-05-01 01:34:00,01,6,1,Automóvil,0.0,0.0
57534,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.578229427337647,-74.15193176269531,Ciudad Bolivar,,2.0,Calle 58 d sur Carrera 48 b,Zona 2,Occidente - Oriente,2022-05-01 01:40:00,01,6,1,Taxi,0.0,0.0
57534,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.578229427337647,-74.15193176269531,Ciudad Bolivar,,2.0,Calle 58 d sur Carrera 48 b,Zona 2,Occidente - Oriente,2022-05-01 01:40:00,01,6,1,Motocicleta,0.0,0.0
57535,NUSE,Choque,Cerrado,1,Con lesionado,Siniestro,,4.5955491065979,-74.16399383544922,Ciudad Bolivar,Autopista sur SN,2.0,Calle 57 r sur Carrera 71 b,Zona 2,Oriente - Occidente,2022-05-01 01:41:00,01,6,1,Automóvil,0.0,0.0
57535,NUSE,Choque,Cerrado,1,Con lesionado,Siniestro,,4.5955491065979,-74.16399383544922,Ciudad Bolivar,Autopista sur SN,2.0,Calle 57 r sur Carrera 71 b,Zona 2,Oriente - Occidente,2022-05-01 01:41:00,01,6,1,Micro bus,0.0,0.0
57536,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.546347141265869,-74.10365295410156,Rafael Uribe Uribe,,2.0,Calle 48 p bis sur Carrera 1 este,Zona 2,Occidente - Oriente,2022-05-01 01:52:00,01,6,1,Automóvil,0.0,0.0
57536,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.546347141265869,-74.10365295410156,Rafael Uribe Uribe,,2.0,Calle 48 p bis sur Carrera 1 este,Zona 2,Occidente - Oriente,2022-05-01 01:52:00,01,6,1,Automóvil,0.0,0.0
57537,NUSE,Autolesiones,Cerrado,1,Con lesionado,Siniestro,,4.722286224365234,-74.05162811279297,Suba,Autopista norte NS,1.0,Autonorte  Calle 137,Zona 1,Sur - Norte,2022-05-01 01:52:00,01,6,1,Motocicleta,0.0,0.0
57538,NUSE,Choque,Cerrado,1,Simple,Siniestro,,4.664573669433594,-74.04696655273438,Chapinero,Carrera 7 SN,2.0,Calle 84 D Av. Circunvalar ,Zona 1,Oriente - Occidente,2022-05-01 01:55:00,01,6,1,Automóvil,0.0,0.0
