0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
894.1,821.6,890.0,671.8,490.9,1038.8,984.2,826.3,816.8,841.8,1281.6,1126.9,945.4,743.5,267.0
707.8,635.3,682.6,490.1,634.7,892.2,807.9,644.6,635.1,1094.3,1103.5,1027.4,638.9,996.0,346.7
741.3,668.8,836.3,757.1,535.9,1159.2,1074.9,911.6,902.1,1130.8,1137.0,1060.9,792.6,1032.5,418.2
575.9,510.5,770.9,824.9,850.9,1227.0,1142.7,979.4,969.9,1365.9,1344.3,1268.2,727.2,1267.6,653.3
1185.0,1112.5,509.3,291.1,1065.0,405.3,321.0,89.6,316.7,762.0,1580.7,1504.6,569.2,850.8,756.6
1013.6,941.1,645.4,427.2,879.3,635.4,580.8,408.8,572.2,844.2,1409.3,1333.2,715.5,902.0,616.8
1364.7,1292.2,904.9,686.7,704.9,736.0,681.4,727.0,831.7,653.7,1698.5,1543.8,975.0,586.4,783.8
1223.5,1151.0,763.7,545.5,625.8,847.3,792.7,700.0,690.5,605.6,1488.9,1334.2,833.8,507.3,573.1
493.5,124.5,1018.6,879.2,697.6,1281.3,1197.0,1033.7,1024.2,1396.8,1009.5,1003.8,974.9,1298.5,751.5
964.2,891.7,828.8,610.6,710.0,997.9,928.4,765.1,755.6,1051.2,1359.9,1283.8,895.3,952.9,146.3
1031.9,959.4,500.9,282.7,911.9,533.0,448.7,285.4,308.3,889.7,1427.6,1351.5,560.8,965.4,603.5
988.2,915.7,488.5,270.3,915.1,672.4,588.1,424.8,415.3,1013.6,1383.9,1307.8,558.6,981.5,559.8
1228.3,1155.8,768.5,550.3,712.3,788.1,733.5,704.8,695.3,692.1,1506.4,1351.7,838.6,593.8,621.9
861.3,788.8,836.1,636.5,713.7,1038.6,954.3,791.0,781.5,1054.9,1257.0,1180.9,792.4,956.6,150.0
1290.8,1218.3,822.8,604.6,1148.5,451.1,411.8,444.5,630.2,833.5,1686.5,1610.4,882.7,922.3,861.9
499.1,328.4,829.1,689.7,719.5,1091.8,1007.5,844.2,834.7,1247.6,1007.5,931.4,785.4,1149.3,535.0
1142.1,1069.6,982.2,764.0,328.3,1118.7,1064.1,918.5,909.0,710.6,1350.9,1196.2,1052.3,612.3,455.0
170.9,533.3,1248.3,1108.9,927.3,1511.0,1426.7,1263.4,1253.9,1626.5,818.9,868.1,1204.6,1528.2,981.2
1685.1,1628.9,1067.5,849.3,875.5,682.5,656.5,702.1,874.9,86.2,1910.2,1718.6,1127.4,175.0,1014.3
943.0,870.5,574.8,356.6,830.4,693.9,645.6,436.6,501.6,909.0,1338.7,1262.6,644.9,883.9,514.6
1210.3,1137.8,497.9,321.8,1090.3,558.0,344.4,306.4,217.2,914.7,1606.0,1529.9,568.0,1003.5,781.9
852.0,779.5,947.0,740.0,466.2,1107.0,1052.4,894.5,885.0,910.0,1247.7,1140.3,903.3,811.7,221.5
541.4,682.5,1358.6,1219.2,971.6,1621.3,1537.0,1373.7,1364.2,1718.7,845.3,798.7,1314.9,1620.4,1091.5
1003.1,930.6,634.9,416.7,890.5,626.9,587.6,369.6,561.7,873.2,1398.8,1322.7,705.0,944.0,574.7
419.1,596.8,1322.5,1305.4,1110.1,1707.5,1623.2,1459.9,1450.4,1809.3,1139.1,1092.5,1278.8,1711.0,1177.7
